input,output
"question: what is the proposition in TARGETCASE? context: [37] Rather it is the view of the consumer which is important in law and it necessarily follows that the correct consumer must be surveyed. In this case a survey of people who visited a ""McBeans"" outlet would have constituted a proper survey. As noted by MacKay, J., in Joseph E. Seagram & Sons Ltd. , supra, at p. 472: <TARGETCASE> ""The affidavits of the persons who actually conducted the interviews were not offered as evidence by the appellants. The affidavits of Mr. Mayer and Mr. Robertson are of little assistance in determining how representative the results of this survey actually are since they were not present while it was being conducted. Here there was no affidavit from anyone actually involved in the survey's completion, and no direct evidence of the manner in which questionnaires were completed or the accuracy of the completed returns. It is true they attest that the survey was conducted by trained questioners, and those surveyed were limited to a cohort, chosen at random, of those over 21 years and who were permanent or seasonal residents of the area.",The affidavits of the persons who actually conducted the interviews must be offered as evidence to determine how representative the results of a survey are.
"question: what is the proposition in TARGETCASE? context: [32] The respondent opposes certification of a question relating to the interpretation of section 34 but has offered an alternative version of the applicant's question for the court's consideration. <REFERENCE> ""Is the Immigration Division required to adjourn every admissibility hearing indefinitely and until such time as an application for Ministerial relief that has been submitted is determined? <TARGETCASE> ",Is the Immigration Division required to adjourn every admissibility hearing indefinitely and until such time as an application for Ministerial relief that has been submitted is determined?
"question: what is the proposition in TARGETCASE? context: [32] Practically speaking, a finding of implausibility is simply an element or rationale for explaining an overall finding that an applicant lacks credibility or reliability. It is for the Board to make such findings on the basis of rationality and common sense (see <TARGETCASE> (C.A.)). <REFERENCE> ","A finding of implausibility is an element for explaining an overall finding that an applicant lacks credibility or reliability, and it is for the Board to make such findings on the basis of rationality and common sense."
"question: what is the proposition in TARGETCASE? context: [27] However, the RPD may make a reviewable error if it fails to mention and analyse important evidence that points away from its own conclusions, as the Court infers from this silence that the RPD has made erroneous findings without regard to the evidence before it (REFERENCE; TARGETCASE; REFERENCE). ","The RPD may make a reviewable error if it fails to mention and analyse important evidence that points away from its own conclusions, inferring that the RPD has made erroneous findings without regard to the evidence before it."
"question: what is the proposition in TARGETCASE? context: [16] Therefore, the issue is whether Prothonotary Morneau, in finding that Bard's representative need not answer the questions at issue in this appeal, exercised his discretion based upon a wrong principle or upon a misapprehension of the facts. If he did not, then his decision attracts considerable deference and should only be interfered with ""in the clearest case of misuse of judicial discretion"" ( NOV <REFERENCE> at para 14; <REFERENCE> , at para 11). This is particularly the case where, as here, the impugned decision was rendered in the context of case management. In such context, it is generally recognized that the burden of a party seeking to overturn an interlocutory order by a case-manager is a heavy one as a casemanager is normally intimately familiar with the history, details, and complexities of the casemanaged matter ( Sanofi- <TARGETCASE> at para 15). ","The burden of a party seeking to overturn an interlocutory order by a case-manager is a heavy one as a case-manager is normally intimately familiar with the history, details, and complexities of the case-managed matter."
"question: what is the proposition in TARGETCASE? context: [35] Meanwhile, the respondent argues that both <REFERENCE> and <REFERENCE> do not apply to the case at bar. Neither applicant in these two cases was prohibited by statute from becoming Canadian citizen. Considering the applicant is statute-barred from swearing the oath and ineligible to become a citizen on account of his conviction, there is no present duty owed by the Minister to the applicant, and so this Court cannot compel the authority to perform it ( <TARGETCASE> [ <REFERENCE> ]). ","If the applicant is statute-barred from swearing the oath and ineligible to become a citizen due to conviction, the Court cannot compel the authority to perform a duty not owed by the Minister to the applicant."
"question: what is the proposition in TARGETCASE? context: [34] The Applicant's eligibility to apply for a disability pension arises pursuant to the Royal Canadian Mounted Police Superannuation Act , R.S.C. 1985, c. R-11. Section 32 of that statute provides as follows: <REFERENCE> ""32. Subject to this Part, an award in accordance with the Pension Act shall be granted to or in respect of <TARGETCASE> (a) any person to whom Part VI of the former Act applied at any time before April 1, 1960 who, either before or after that time, has suffered a disability or has died, or <REFERENCE> (b) any person who served in the Force at any time after March 31, 1960 as a contributor under Part I of this Act and who has suffered a disability, either before or after that time, or has died, <REFERENCE> in any case where the injury or disease or aggravation thereof resulting in the disability or death in respect of which the application for the award is made arose out of, or was directly connected with, the person's service in the Force.","An award in accordance with the Pension Act shall be granted to any person who has suffered a disability or has died, where the injury or disease resulting in the disability or death arose out of, or was directly connected with, the person's service in the Force."
"question: what is the proposition in TARGETCASE? context: [39] In TARGETCASE, the Federal Court of Appeal considered the meaning of similar language appearing in section 23 of the Federal Court Act . It observed that ""as the only alternative to an action between subject and subject is an action between a public authority and a subject, the phrase 'as well between subject and subject as otherwise' means 'between subject and subject as well as between Her Majesty or the Attorney General or another public authority and a subject' "": at para. 9 [my emphasis]. ",The phrase 'as well between subject and subject as otherwise' means 'between subject and subject as well as between Her Majesty or the Attorney General or another public authority and a subject'.
"question: what is the proposition in TARGETCASE? context: [35] Also, boards are presumed to have considered all the evidence ( Florea at paragraph 1). Sometimes, when a probative piece of evidence that is contrary to a board's conclusions is not mentioned, the Court will draw an inference that the board overlooked it (see <TARGETCASE> (QL) at paragraphs 15 to 17, 157 FTR 35). <REFERENCE> ","When a probative piece of evidence that is contrary to a board's conclusions is not mentioned, the Court will draw an inference that the board overlooked it."
"question: what is the proposition in TARGETCASE? context: [24] The test for a reasonable apprehension of bias was set out by the Supreme Court in Committee for Justice and <TARGETCASE> at 394: whether an informed person, viewing the matter realistically and practically - and having thought the matter through - would conclude that it was more likely than not that the decision-maker, consciously or unconsciously, would not decide fairly. This Court has noted that, among other things, bias ""denotes a state of mind, an attitude of the tribunal in relation to the issues-a state of mind predisposed to decide an issue, a closed mind"" ( Canada (Minister of Citizenship and <REFERENCE> ","An informed person, viewing the matter realistically and practically, would conclude that it was more likely than not that the decision-maker, consciously or unconsciously, would not decide fairly if they have a state of mind predisposed to decide an issue, a closed mind."
"question: what is the proposition in TARGETCASE? context: [37] The second issue is whether the misrepresentation was material. Paragraph 40(1)( a ) of the IRPA states that a foreign national will be inadmissible if they directly or indirectly misrepresent or withhold material facts relating to a relevant matter that induces or that could induce an error in the administration of the IRPA. A misrepresentation will be material if it is important enough to affect the process. Moreover it is not necessary that a misrepresentation actually induces an error, it is enough that it could do so ( REFERENCE; REFERENCE; TARGETCASE; REFERENCE). ","A misrepresentation will be material if it is important enough to affect the process and it is not necessary that a misrepresentation actually induces an error, it is enough that it could do so."
"question: what is the proposition in TARGETCASE? context: [38] The Applicants state that IMM 500 refers to the form for an immigration travel loan, and that section 3.1 of Citizenship and Immigration Canada's Operational Manual OP5, entitled Overseas Selection and Processing of Convention Refugees Abroad Class and Members of the Humanitarian-protected Persons Abroad Classes (""OP5""), states that the purpose of such loans is ""[t]o authorize transportation loans, right of permanent residence loan and loan for medical examination and related costs."" The Applicants add that ""Meds"" refers to medical assessments, and that section 23.8 of OP5 states that ""[t]he medical assessments will be initiated and coordinated by the visa office immediately following a positive decision to process the application."" The Applicants infer from this that a positive decision must have been made to process their applications, and that there must have been positive determination, at least on an interim basis, that they were refugees, and therefore victims of persecution, at some time in the past. <TARGETCASE> ","A positive decision to process an application infers that a positive determination, at least on an interim basis, that the applicants were refugees, and therefore victims of persecution, at some time in the past."
"question: what is the proposition in TARGETCASE? context: [23] The Computer Assisted Immigration Processing System (the CAIPS) notes prepared by the Visa Officer at the interview with Ms. Hong provide the following details in support of the refusal: <TARGETCASE> [ ...] PA states all expenses to be paid by uncle in Canada, who has claimed business income of $29 K for 2008, T1 general submitted but this in sot a reliable document as it can be self-generated. Bank account RBC at $11K, aunts NOA at 4[sic] 10K. It appears LICO not met. Not satisfied funds in place, and given that funds are low, ESL at such great expense is not reasonable when similar programs available in Vietnam and region at much less expense. The applicant has very strong ties in Canada, specifically close family. I am not satisfied that this applicant would leave Canada at the end of the period authorized if issued a TRV. Refused. <REFERENCE> ","An applicant may be refused a Temporary Resident Visa if the Visa Officer is not satisfied that the applicant would leave Canada at the end of the authorized period, particularly when funds are low and the applicant has strong ties in Canada."
"question: what is the proposition in TARGETCASE? context: [27] Even though the applicants contend that it [translation] ""[is] arbitrary to state that 'the applicant did not begin the steps required by his Consulate to obtain a copy of the complaint'"" (see paragraph 38 of the Applicants' Memorandum of facts and law attached to the Applicants' Record), it is reasonable to think that Mr. Corona could have obtained a copy of his complaint from his employer. Mr. Corona took steps with the Consulate of Mexico in Montréal to obtain a copy of his complaint. However, he fails to explain why he was unable to obtain a copy from his employer. The Court must reiterate that ""the onus is on [the] Applicant[s] to prove [their] case"" (see <TARGETCASE> ",The onus is on the Applicant to prove their case.
"question: what is the proposition in TARGETCASE? context: [31] Of course, the mere use of the words ""will"" or ""would"" is not, in and of itself, sufficient to conclude that the officer applied the wrong legal test, especially if this is an isolated occurrence. Regard must be had to the decision as a whole, as this Court has made clear on a number of occasions: see, for example, <REFERENCE> . On the other hand, the mere recital at the very end of an assessment of a standard formula with respect to the correct threshold will not cure the deficiencies found elsewhere in the reasons. The present case seems to me to be borderline. If the officer had made no other reviewable error, I do not think this would be sufficient to quash her decision. But it adds to the other problems found with her decision and, cumulatively, they most certainly warrant a new PRRA. <REFERENCE> C) The assessment of the evidence <TARGETCASE> ","The mere use of the words 'will' or 'would' is not sufficient to conclude that the officer applied the wrong legal test, and the mere recital of a standard formula with respect to the correct threshold will not cure the deficiencies found elsewhere in the reasons."
"question: what is the proposition in TARGETCASE? context: [20] The respondent objects to the reception of this evidence on the ground that absent special circumstances, a reviewing court is bound by the record which was before the tribunal: <TARGETCASE> ","Absent special circumstances, a reviewing court is bound by the record which was before the tribunal."
"question: what is the proposition in TARGETCASE? context: [57] <TARGETCASE> Justice Blanchard set aside a Commission decision to dismiss a complaint based, in part, on the failure of the Commission investigator to interview key witnesses, namely those individuals involved in the decision not to renew the complainant's employment contract. ",A complaint can be dismissed based on the failure of the Commission investigator to interview key witnesses involved in the decision not to renew the complainant's employment contract.
"question: what is the proposition in TARGETCASE? context: [18] The RPD found the Applicant was not a credible or trustworthy witness because of discrepancies between her PIF Questionnaire, Amended Narrative, and oral testimony at the RPD Hearing. It first noted that the testimony of a refugee claimant is presumed true (see <TARGETCASE> (FCA)) and that contradictions and implausiblities in testimony, including omissions, are a proper basis for finding a claimant is not credible. ","The testimony of a refugee claimant is presumed true and contradictions and implausibilities in testimony, including omissions, are a proper basis for finding a claimant is not credible."
"question: what is the proposition in TARGETCASE? context: [23] This presumption is particularly strong in the case of democracies. That said, there is a wide spectrum of democratic nations, and so the Board must look further than the mere existence of elections, which are less important for the issue of state protection, but focus on the strength of the institutions relevant to state protection, such as the professionalism of the police force and the independence of the judiciary and defence bar: <TARGETCASE> . ","The Board must focus on the strength of institutions relevant to state protection, such as the professionalism of the police force and the independence of the judiciary and defence bar, rather than the mere existence of elections."
"question: what is the proposition in TARGETCASE? context: [19] In <TARGETCASE> , the applicant claimed to have suffered a severe blow during military service which later manifested itself in an ailment complained of many years after. The applicant there presented the following medical evidence from a Dr. McKenna: ""[The patient] wonders if, in fact, such a severe blow to the head could damage his neck and set up a tendency to develop cervical disc disease at a relatively early age of 48. I feel this is possible because the blow on the head was sufficient to knock him unconscious. It would certainly have some repercussions and transmittance of force to the neck as well, and I would think there is a link in this area, i.e. the blow may have contributed to the cervical disc degeneration and the symptoms of brachialgia which he has been getting in his upper limbs."" The Board, in responding to this evidence, did not deny that the earlier blow took place, but wrote: ""[The Board] finds that Dr. McKenna's medical opinion is predicated on the appellant having sustained a severe injury in 1966.",A severe blow to the head during military service can potentially contribute to the development of cervical disc disease at a relatively early age.
"question: what is the proposition in TARGETCASE? context: [72] When discussing the case law summarized <REFERENCE> -La <TARGETCASE> , Justice Karen Sharlow in Wyeth noted, at paragraph 26, the use in a number of decisions of the adjective ""substantive"" to describe the type of SNDS that could support a listing. She said that this had to be understood to mean ""substantive in relation to the patented invention or the patent claims"" (see also paragraph 47). Up until then, the Court understands that the analysis of the nature of the SNDS was carried out to determine if the SNDS fell within the meaning of subsection 4(1), such that a patent list could be submitted against it for registration. In contrast, the concept of ""relevance of the patent"" commented upon in <REFERENCE> and discussed at paragraph 22 of Justice Hughes' decision in Wyeth appears to be directed to a linkage between a patent and an NOC, as required by subsection 4(5) and 5(1) of the former NOC Regulations . ","Substantive"" in relation to a Supplementary New Drug Submission (SNDS) means it is substantive in relation to the patented invention or the patent claims, and this is used to determine if the SNDS falls within the meaning of subsection 4(1), such that a patent list could be submitted against it for registration."
"question: what is the proposition in TARGETCASE? context: [32] The Court of Appeal in <TARGETCASE> observed that what is required when conducting a best interests of a child analysis in an H&C context is an assessment of the benefit the children would receive if their parent was not removed, in conjunction with an assessment of the hardship the children would face if their parent was removed or if the child was to return with his or her parent. ","When conducting a best interests of a child analysis in an H&C context, an assessment of the benefit the children would receive if their parent was not removed should be conducted, in conjunction with an assessment of the hardship the children would face if their parent was removed or if the child was to return with his or her parent."
"question: what is the proposition in TARGETCASE? context: [10] In its interpretation of sections 110(1), 110(2) and 111(1) of IRPA , the RAD acknowledged that the standard of review for its review of the RPD's decision had not been specified in the legislation, and primarily relied on <TARGETCASE> [ Newton ], for guidance as to the factors which should be considered by an appellate tribunal in deciding the standard of review for a tribunal at first instance. These factors, as laid out by Justice Slatter in paragraph 43 of Newton , include: (a) the respective roles of the tribunal of first instance and the appellate tribunal, as determined by interpreting the enabling legislation; (b) the nature of the question in issue; (c) the interpretation of the statute as a whole; (d) the expertise and advantageous position of the tribunal of first instance, compared to that of the appellate tribunal; (e) the need to limit the number, length and cost of appeals; (f) preserving the economy and integrity of the proceedings in the tribunal of first instance; and (g) other factors that are relevant in the particular context. ","The factors to be considered by an appellate tribunal in deciding the standard of review for a tribunal at first instance include: the respective roles of the tribunals, the nature of the question in issue, the interpretation of the statute, the expertise and position of the tribunal of first instance, the need to limit appeals, preserving the economy and integrity of the proceedings, and other relevant factors."
"question: what is the proposition in TARGETCASE? context: [20] ... <REFERENCE> ""In assessing an application for landing from within Canada on Humanitarian and Compassionate grounds made pursuant to section 25, the Immigration Officer is provided with Ministerial guidelines. Immigration Manual IP5 - Immigration Applications in Canada made on Humanitarian or compassionate Grounds , a manual put out by the Minister of Citizenship and Immigration Canada, provides guidelines on what is meant by Humanitarian and Compassionate grounds ... <REFERENCE> . . . . . <REFERENCE> ""The IP5 Manual goes on to define 'unusual and undeserved' hardship and 'disproportionate' hardship. It states, at paragraphs 6.7 and 6.8: <REFERENCE> ' 6.7 Unusual and undeserved hardship <REFERENCE> 'Unusual and undeserved hardship is: <REFERENCE> - the hardship (of having to apply for a permanent resident visa from outside of Canada) that the applicant would have to face should be, in most cases, unusual, in other words, a hardship not anticipated by the Act or Regulations; and <REFERENCE> - the hardship (of having to apply for a permanent resident visa from outside of Canada) that the applicant would face should be, in most cases, the result of circumstances beyond the person's control <REFERENCE> ' 6.8 Disproportionate hardship <TARGETCASE> 'Humanitarian and compassionate grounds may exist in cases that would not meet the ""unusual and undeserved"" criteria but where the hardship (of having to apply for a permanent resident visa from outside of Canada) would have a disproportionate impact on the applicant due to their personal circumstances' <REFERENCE> ",Humanitarian and compassionate grounds may exist in cases that would not meet the 'unusual and undeserved' criteria but where the hardship would have a disproportionate impact on the applicant due to their personal circumstances.
"question: what is the proposition in TARGETCASE? context: [13] In <TARGETCASE> , I said that the Member's decision was to be found in the "" DETERMINATION "" section of her reasons where she wrote: I find the claimant is a Convention refugee because he has a well-founded fear of persecution based on his particular social group, pursuant to s. 96 of the Act . ","The Member's decision is to be found in the 'DETERMINATION' section of her reasons where she identifies the claimant as a Convention refugee due to a well-founded fear of persecution based on his particular social group, pursuant to s. 96 of the Act."
"question: what is the proposition in TARGETCASE? context: [137] As for the literature relied upon by Dr. Brittain that was not cited in Mylan's NOA, counsel for Lilly was unable to provide any case law to support its view that every single document upon which Mylan intended to rely to substantiate its allegations must be disclosed in its NOA. The only decision that I was referred to was TARGETCASE, where the Federal Court of Appeal did strike the second person's evidence as it related to prior art not cited in the NOA. That determination, however, turned upon its facts. I agree with Prothonotary Tabib that the ratio decidendi of that case is not that a second person is precluded from relying on any document not cited in the NOA, but rather that the second person may not rely on any facts not cited in the NOA: see REFERENCE. What is required by paragraph 5(3)( b ) of the Patented Medicines (Notice of Compliance) Regulations from a person alleging that a patent is invalid or will not be breached is a ""detailed statement of the legal and factual basis for the allegation"" (emphasis added).","A second person is not precluded from relying on any document not cited in the Notice of Allegation, but they may not rely on any facts not cited in the Notice of Allegation."
"question: what is the proposition in TARGETCASE? context: [28] Moreover, the Court recalls that the case of <REFERENCE> , cited by the applicant does not establish that all applicants should benefit from a presumption that they are ""law-abiding and would continue to comply with the rules in the future"". Rather, the case of Murai teaches that previous immigration encounters are the best indicators of an applicant's likelihood of future compliance. In the case at hand, there is no evidence to suggest that the applicant has previous immigration encounters, which is reaffirmed by the statements in the applicant's affidavit. In these circumstances, the case of <TARGETCASE> , is of no assistance to the applicant. <REFERENCE> ",Previous immigration encounters are the best indicators of an applicant's likelihood of future compliance.
"question: what is the proposition in TARGETCASE? context: [29] A high degree of deference is owed to the decision of the IAD in such a matter, as the IAD has considerable expertise in determining appeals under the IRPA and had the advantage of conducting the hearings and assessing the evidence presented ( TARGETCASE; REFERENCE). ","A high degree of deference is owed to the decision of the IAD in such a matter, as the IAD has considerable expertise in determining appeals under the IRPA and had the advantage of conducting the hearings and assessing the evidence presented."
"question: what is the proposition in TARGETCASE? context: [34] A careful review of the case law on disclosure leads me to the conclusion that this is much too broad a proposition. One must never loose sight of the fact that the Refugee Protection Division of the Immigration and Refugee Protection Board is an administrative tribunal with specialized knowledge, not bound by legal or technical rules of evidence. As a result, the disclosure standards delineated <REFERENCE> do not necessarily apply automatically in the context of a refugee hearing and may require some adaptation. On the other hand, I agree with the applicant that the level of disclosure owed to an applicant cannot be decided by a simple invocation of the distinction between criminal and administrative proceedings, and that the consequences of an adverse finding on the applicant must be taken into consideration. As the Supreme Court wrote <REFERENCE> , Re (2007), 358 N.R. 1; 2007 SCC 9, at para. 20: <REFERENCE> ""Section 7 of the Charter requires not a particular type of process, but a fair process having regard to the nature of the proceedings and the interests at stake: <REFERENCE> at para. 14; <REFERENCE> at para. 47; <REFERENCE> , at pp. 656-57. The procedures required to meet the demands of fundamental justice depend on the context (see Rodgers ; <REFERENCE> at paras. 20-21). Societal interests may be taken into account in elucidating the applicable principles of fundamental justice: <TARGETCASE> at para. 98. <REFERENCE> ",Societal interests may be taken into account in elucidating the applicable principles of fundamental justice.
"question: what is the proposition in TARGETCASE? context: The overriding consideration is the intention of the legislature: did it intend that a reviewing court accord the decision under review deference, or was a full right of appeal intended, or does the relevant standard fall somewhere on the spectrum that lies between these two poles. Also, the standard of review must be determined by reference to the specific nature of the decision under review. The same standard will not necessarily apply to all decisions of the same decision-maker. The factors to be assessed according to Pushpanathan are: (1) the legislative provisions governing the review process, including whether there is a privative clause; (2) the degree of expertise of the tribunal with respect to the question in issue, as compared to the degree of expertise the reviewing court has on that subject; (3) the purpose of the legislation and the nature of the decision-maker; that is, whether the decision-maker is balancing public policy considerations (sometimes vaguely worded) as opposed to adjudicating the rights of individuals; (4) the nature of the decision under review, including whether it is a question of law or a question of fact. < TARGETCASE>","The standard of review must be determined by the specific nature of the decision under review, considering factors such as legislative provisions, the expertise of the tribunal versus the reviewing court, the purpose of the legislation and the nature of the decision-maker, and the nature of the decision under review."
"question: what is the proposition in TARGETCASE? context: [26] As stated in <REFERENCE> , if a supervising court is prevented from assessing whether a decision is reasonable because too little information has been provided, the reasons are inadequate (at para 16). <TARGETCASE> ","If a supervising court is prevented from assessing whether a decision is reasonable because too little information has been provided, the reasons are inadequate."
"question: what is the proposition in TARGETCASE? context: [15] In <TARGETCASE> , Justice de Montigny set aside a decision of the RPD that, like the decision in this case, was premised in large part on the fact that the maximum punishment for the crimes in question was a sentence of more than ten years' imprisonment. He wrote as follows: ",Justice de Montigny set aside a decision of the RPD that was premised largely on the fact that the maximum punishment for the crimes in question was a sentence of more than ten years' imprisonment.
"question: what is the proposition in TARGETCASE? context: [1] Mosley, J. : The issue in this case is whether, in considering an application for Canadian citizenship, the Citizenship Judge erred in applying one of several tests for determining the residency requirements that have been previously approved by this Court. Recently, some judges of this Court have adopted the view that just one of these tests should prevail. This would, undoubtedly, avoid inconsistency in the administration of the statute. Should an appeal from the Citizenship Judge's decision be granted when the judge chose to apply one test over another and the decision is not otherwise unreasonable? <TARGETCASE> BACKGROUND <REFERENCE> ",Should an appeal from the Citizenship Judge's decision be granted when the judge chose to apply one test over another and the decision is not otherwise unreasonable?
"question: what is the proposition in TARGETCASE? context: [12] Lilly bears the burden of proof on a balance of probabilities on the infringement issue. Novopharm bears the burden of proof in respect of invalidity. In assessing whether it has met that burden, I must bear in mind that the Commissioner of Patents already concluded, by virtue of issuing the '113 patent to Lilly, that the patent is valid. The Commissioner's conclusion is entitled to some deference; I can overturn it only if the evidence <TARGETCASE> 's favour shows that it was unreasonable ( Apotex Inc. and <REFERENCE> at paras. 41-44). ",The Commissioner of Patents' conclusion on patent validity is entitled to deference and can only be overturned if the evidence shows that it was unreasonable.
"question: what is the proposition in TARGETCASE? context: [26] Provisions of the Act , analogous to those applied in this case, that is, ""access criteria"" of another sort, were upheld in <TARGETCASE> D.L.R.(4th) 151; 14 C.R.R.(2d) 146; 18 Imm. L.R.(2d) 165 (F.C.A.). There the Court of Appeal dismissed an application for judicial review of a decision of an adjudicator that a refugee claimant was not eligible to have his claim considered by the Refugee Division where he was found to be a person defined by then s. 46.01(1)(e)(ii)(B), as one convicted in Canada of an offence under any Act of Parliament for which a term of imprisonment of ten years or more may be imposed, who the Minister has certified constitutes a danger to the public in Canada. In that case Mr. Justice Marceau, for the court, commented: ( Nguyen , at p. 704 of ","Access criteria"" under the Act were upheld, allowing the dismissal of a refugee claim if the claimant is found to be a person convicted of an offence under any Act of Parliament for which a term of imprisonment of ten years or more may be imposed and who the Minister has certified constitutes a danger to the public in Canada."
"question: what is the proposition in TARGETCASE? context: [25] The Immigration Officer's decision gave no indication as to the grounds for its conclusion. HW's purported M5 assessment of December 1990 was inconsistent with the assessments of M7 and T5 included in the 1988 Medical Notification. The M5 assessment states that future admission to Canada could be considered because of the ""expected response to treatment"". On the other hand, the T5 and M7 assessments imply that no treatment was available or likely to succeed and that the finding of inadmissibility was final. Thus, the effect of the Immigration Officer's decision was to downgrade Qi from M5 to M7 without justification or explanation. <TARGETCASE> ",The Immigration Officer's decision downgraded Qi from M5 to M7 without justification or explanation.
question: what is the proposition in TARGETCASE? context: [14] The applicant also submits that the citizenship judge denied the applicant natural justice by failing to provide him with notice and an opportunity to respond prior to making his final decision. <TARGETCASE> ,The citizenship judge denied the applicant natural justice by failing to provide him with notice and an opportunity to respond prior to making his final decision.
"question: what is the proposition in TARGETCASE? context: [15] In my view, Lee does not apply to the facts of this case because, in this case, the Act does not create two separate offences. Sections 94(1)(m) and 94(2) read: <REFERENCE> ""94(1) Specific offences respecting immigration - Every person is guilty of an offence who <REFERENCE> . . . . . <REFERENCE> (m) knowingly induces, aids or abets or attempts to induce, aid or abet any person to contravene any provision of this Act or the regulations; ... <TARGETCASE> ""94(2) Punishment - Every person who is guilty of an offence under subsection (1) is liable <REFERENCE> (a) on conviction on indictment, to a fine not exceeding five thousand dollars or to imprisonment for a term not exceeding two years or to both; or <REFERENCE> (b) on summary conviction, to a fine not exceeding one thousand dollars or imprisonment for a term not exceeding six months or to both. <REFERENCE> It is clear that, while there is only one offence, there are two procedures for obtaining a conviction. This is a hybrid offence. <REFERENCE> ","While there is only one offence, there are two procedures for obtaining a conviction, making it a hybrid offence."
"question: what is the proposition in TARGETCASE? context: Pursuant to its power to make regulations prescribing, for the purposes of s. 6(5) of the Immigration Act , classes of immigrants and landing requirements, the Governor-in-Council has prescribed a class of immigrants defined in s. 2(1) of the Immigrant Regulations as the PDRCC class. The applicable statutory provisions are Immigration Regulations ss. 11.4 and 11.41 and s. 2(1), the relevant portions of which read: <REFERENCE> ""11.4(1) A member of the post-determination refugee claimants in Canada class and the member's dependants, if any, are subject to the following landing requirements: <REFERENCE> (a) the member must not be, and no dependant of the member is, a person described in any of paras. 19(1)(c) to (g) and (j) to (l) and (2)(a) or subpara. 19(2)(a.1)(i) of the Act, as determined by an immigration officer pursuant to s. 6(8) of the Act; <TARGETCASE> (b) the member must not have been, and no dependant of the member has been, convicted of an offence referred to in para.",A member of the post-determination refugee claimants in Canada class and their dependants must not have been convicted of an offence referred to in the Act.
"question: what is the proposition in TARGETCASE? context: [113] The Court finds it is nonetheless consistent with the Treasury Board's memorandum for the same reasons as above, in that the wording in the Manual reflects the intent and objective found in the original MOU. It is not reasonable, however, because there is no data on the number of recipients who will loose their benefits as a result of the application of provincial eligibility criteria. The Minister failed to obtain data on the impact the strict application of provincial eligibility criteria would have on recipients, this omission renders his decision unreasonable (see <REFERENCE> [ <TARGETCASE> ]). ",The Minister's failure to obtain data on the impact the strict application of provincial eligibility criteria would have on recipients renders his decision unreasonable.
"question: what is the proposition in TARGETCASE? context: [9] The IFA must also be realistically accessible to the claimant. The claimant is not expected to risk physical danger or undue hardship in traveling or staying in that IFA. Claimants are not compelled to hide out in an isolated region, such as a cave, desert or jungle: TARGETCASE. ","The claimant is not expected to risk physical danger or undue hardship in traveling or staying in an Internal Flight Alternative (IFA), and are not compelled to hide out in an isolated region."
"question: what is the proposition in TARGETCASE? context: [6] The parties submit, and I agree, that the standard of review of a discretionary decision of a citizenship judge, which pertains to questions of mixed fact and law, is that of reasonableness ( TARGETCASE). ","The standard of review of a discretionary decision of a citizenship judge, which pertains to questions of mixed fact and law, is that of reasonableness."
"question: what is the proposition in TARGETCASE? context: [11] The IAD commenced its analysis with the following paragraphs: <REFERENCE> The onus is on the appellant [here the Applicant] to show why his appeal ought not to be dismissed. The panel heard testimony from the appellant, his father and the appellant's common-law spouse. Documentary evidence was also disclosed. At the close of the hearing the appellant's counsel submitted that there were sufficient humanitarian and compassionate considerations on which to stay the execution of the deportation order for a period of two years. A position with which the Minister's counsel did not agree. She argued that the appeal should be dismissed or, in the alternative, a stay of at least four years should be imposed. <TARGETCASE> In analysing the evidence presented, the panel considered the non-exhaustive factors set out <REFERENCE> and approved by the Supreme Court of Canada <REFERENCE> . As can be seen from the discussion below, looked at objectively, the evidence reveals both positive and negative factors. The best interests of the appellant's child [now children] being the factor that most weighed heavily in his favour. [see footnote 3] <REFERENCE> ","In analysing the evidence presented, the panel considered the non-exhaustive factors set out and approved by the Supreme Court of Canada."
"question: what is the proposition in TARGETCASE? context: [34] Mr. Fabros also submits that in conducting his assessment, the officer erred by failing to consider a letter from Mafi's doctor, in which the following was noted: ""Despite the optimal fitting of hearing aids, benefit in speech and language development has been limited due to poor access to speech therapy."" However, the officer specifically referred to that diagnosis in the second full paragraph on page 8 of his decision. I therefore agree with the Respondent that Mr. Fabros, in essence, is asking the Court to reweigh this evidence. Given the highly discretionary nature of the officer's decision, I decline to do so ( REFERENCE). In my view, the officer's determination on this point had a rational basis, was justified, intelligible, transparent and ""falls within a range of possible, acceptable outcomes which are defensible in respect of the facts and the law"" ( TARGETCASE; REFERENCE). ","The officer's determination is valid if it had a rational basis, was justified, intelligible, transparent and ""falls within a range of possible, acceptable outcomes which are defensible in respect of the facts and the law""."
"question: what is the proposition in TARGETCASE? context: [18] The question of the standard of review of a decision of a citizenship judge is addressed in depth in Canada (Minister of Citizenship and <REFERENCE> FTR 248, where Justice Mainville presented a history of the standard of review in cases of citizenship appeals. He stated at paragraph 19 and 20 that: <REFERENCE> ""Since the Dunsmuir decision, above, Federal Court decisions have, for the most part, favoured the reasonableness standard of review on an appeal from a decision of a citizenship judge under subsection 14(5) of the Citizenship Act : Canada (Minister of Citizenship and <TARGETCASE> ","Federal Court decisions have, for the most part, favoured the reasonableness standard of review on an appeal from a decision of a citizenship judge under subsection 14(5) of the Citizenship Act."
